Name,URL,Fact and Bias
  freemedia  ,freemedia.at,Fact: HIGH Bias:  center
 beinglibertarian  ,beinglibertarian.com,Fact: HIGH Bias:  right
  frontpagemag  ,frontpagemag.com,Fact: LOW Bias:  extreme-right
 americanindependent  ,americanindependent.com,Fact: HIGH Bias:  left
  curvemag ,curvemag.com,Fact: HIGH Bias:  left
 ahtribune  ,ahtribune.com,Fact: MIXED Bias:  left-center
  nber  ,nber.org,Fact: HIGH Bias:  center
  faithfamilyamerica ,faithfamilyamerica.com,Fact: HIGH Bias:  right-center
  centerforinquiry  ,centerforinquiry.net,Fact: HIGH Bias:  center
  bjreview  ,bjreview.com,Fact: HIGH Bias:  left-center
  tnonline ,tnonline.com,Fact: HIGH Bias:  right-center
  elpasotimes  ,elpasotimes.com,Fact: HIGH Bias:  left-center
  algemeiner  ,algemeiner.com,Fact: HIGH Bias:  right-center
 calgaryherald  ,calgaryherald.com,Fact: HIGH Bias:  left-center
 feministfrequency  ,feministfrequency.com,Fact: HIGH Bias:  left-center
 viralliberty  ,viralliberty.com,Fact: LOW Bias:  extreme-right
 dailysnark  ,dailysnark.com,Fact: LOW Bias:  center
 eng.majalla  ,eng.majalla.com,Fact: HIGH Bias:  center
 freedomhouse  ,freedomhouse.org,Fact: HIGH Bias:  right-center
 newsblaze  ,newsblaze.com,Fact: LOW Bias:  extreme-right
 votesmart  ,votesmart.org,Fact: HIGH Bias:  center
 theintercept  ,theintercept.com,Fact: HIGH Bias:  left-center
 evonomics  ,evonomics.com,Fact: HIGH Bias:  left
  thenationalpatriot  ,thenationalpatriot.com,Fact: LOW Bias:  extreme-right
  torontosun  ,torontosun.com,Fact: HIGH Bias:  right
  theunrealtimes  ,theunrealtimes.com,Fact: LOW Bias:  center
  staresattheworld  ,staresattheworld.com,Fact: LOW Bias:  extreme-right
 youthradio  ,youthradio.org,Fact: HIGH Bias:  left-center
 bluetribune  ,bluetribune.com,Fact: LOW Bias:  extreme-left
 notallowedto  ,notallowedto.com,Fact: LOW Bias:  center
 worldpress  ,worldpress.org,Fact: HIGH Bias:  center
 azdailysun ,azdailysun.com,Fact: HIGH Bias:  left-center
 newbostonpost ,newbostonpost.com,Fact: MIXED Bias:  right
 thedcgazette  ,thedcgazette.com,Fact: LOW Bias:  extreme-right
  barenakedislam  ,barenakedislam.com,Fact: LOW Bias:  extreme-right
 twitchy  ,twitchy.com,Fact: MIXED Bias:  right
  newyorker  humor borowitz-report,newyorker.com-humor-borowitz-report,Fact: LOW Bias:  center
  lbc ,lbc.co.uk,Fact: MIXED Bias:  right-center
  thenewamerican  ,thenewamerican.com,Fact: MIXED Bias:  right
  rawstory  ,rawstory.com,Fact: MIXED Bias:  left
 freakoutnation  ,freakoutnation.com,Fact: LOW Bias:  extreme-left
  smithsonianmag  ,smithsonianmag.com,Fact: HIGH Bias:  center
  unionleader  ,unionleader.com,Fact: HIGH Bias:  right
 steadfastandloyal  ,steadfastandloyal.com,Fact: LOW Bias:  extreme-right
 theresurgent  ,theresurgent.com,Fact: MIXED Bias:  right
  cnntimes.online ,cnntimes.online,Fact: MIXED Bias:  left
  independentsentinel  ,independentsentinel.com,Fact: HIGH Bias:  right
 100percentfedup  ,100percentfedup.com,Fact: LOW Bias:  extreme-right
  bullshido  ,bullshido.net,Fact: HIGH Bias:  center
  tfp  ,tfp.org,Fact: LOW Bias:  extreme-right
  lifenews  ,lifenews.com,Fact: MIXED Bias:  right
  spiegel.de international ,spiegel.de,Fact: HIGH Bias:  left-center
  sciencedirect  ,sciencedirect.com,Fact: HIGH Bias:  center
  lewrockwell  ,lewrockwell.com,Fact: LOW Bias:  extreme-right
 gazette  ,gazette.com,Fact: HIGH Bias:  right-center
  patheos  ,patheos.com,Fact: MIXED Bias:  center
 girlsjustwannahaveguns  ,girlsjustwannahaveguns.com,Fact: LOW Bias:  extreme-right
  newsandgutsmedia  ,newsandgutsmedia.com,Fact: HIGH Bias:  left-center
 observeronline  ,observeronline.news,Fact: LOW Bias:  center
 crfb  ,crfb.org,Fact: HIGH Bias:  center
  stpete4peace  ,stpete4peace.org,Fact: HIGH Bias:  left
 feministing  ,feministing.com,Fact: HIGH Bias:  left
  unz  ,unz.com,Fact: LOW Bias:  extreme-right
 globalvoices  ,globalvoices.org,Fact: HIGH Bias:  left
  dcstatesman  ,dcstatesman.com,Fact: MIXED Bias:  right
  thedailyliberator  ,thedailyliberator.com,Fact: MIXED Bias:  right
  nationalreview  ,nationalreview.com,Fact: HIGH Bias:  right
  theburningspear  ,theburningspear.com,Fact: HIGH Bias:  left
  pacificpundit  ,pacificpundit.com,Fact: LOW Bias:  extreme-right
 theredshtick  ,theredshtick.com,Fact: LOW Bias:  center
 politicaldig  ,politicaldig.com,Fact: MIXED Bias:  left
  memri  ,memri.org,Fact: LOW Bias:  right
  tvw  ,tvw.org,Fact: HIGH Bias:  center
  dailytarheel  ,dailytarheel.com,Fact: HIGH Bias:  left-center
 lexingtoninstitute  ,lexingtoninstitute.org,Fact: HIGH Bias:  right-center
  kmov  ,kmov.com,Fact: HIGH Bias:  left-center
  nationaleconomicseditorial  ,nationaleconomicseditorial.com,Fact: LOW Bias:  extreme-right
  middleeastmonitor  ,middleeastmonitor.com,Fact: MIXED Bias:  left
  britannica  ,britannica.com,Fact: HIGH Bias:  center
  srnnews  ,srnnews.com,Fact: HIGH Bias:  right-center
  dailytelegraph   ,dailytelegraph.com.au,Fact: MIXED Bias:  right
  foreignaffairs  ,foreignaffairs.com,Fact: HIGH Bias:  center
 cis  ,cis.org,Fact: LOW Bias:  extreme-right
  washingtonblade  ,washingtonblade.com,Fact: HIGH Bias:  left-center
 canadiandimension  ,canadiandimension.com,Fact: HIGH Bias:  left
 schmedium ,schmedium.org,Fact: LOW Bias:  center
  standard  ,standard.net,Fact: HIGH Bias:  center
  change  ,change.org,Fact: HIGH Bias:  left
  democraticunderground  ,democraticunderground.com,Fact: MIXED Bias:  left
  pastemagazine  ,pastemagazine.com,Fact: HIGH Bias:  left
  texastribune  ,texastribune.org,Fact: HIGH Bias:  center
  consnation  ,consnation.com,Fact: LOW Bias:  extreme-right
  ctvnews  ,ctvnews.ca,Fact: HIGH Bias:  left-center
 thewire  ,thewire.in,Fact: HIGH Bias:  left-center
  newser ,newser.com,Fact: HIGH Bias:  left-center
  rep-am  ,rep-am.com,Fact: HIGH Bias:  right-center
 loveknowledge  ,loveknowledge.org,Fact: MIXED Bias:  left
  democracynow  ,democracynow.org,Fact: HIGH Bias:  left
  prospectmagazine  ,prospectmagazine.co.uk,Fact: HIGH Bias:  left-center
  winonadailynews ,winonadailynews.com,Fact: HIGH Bias:  center
 abovethelaw  ,abovethelaw.com,Fact: HIGH Bias:  left-center
 us.blastingnews  ,us.blastingnews.com,Fact: MIXED Bias:  left-center
  factcheck  ,factcheck.org,Fact: HIGH Bias:  center
  neweurope.eu ,neweurope.eu,Fact: HIGH Bias:  left-center
 thediplomat  ,thediplomat.com,Fact: HIGH Bias:  center
 dailysurge  ,dailysurge.com,Fact: MIXED Bias:  right
  eastbaytimes  ,eastbaytimes.com,Fact: HIGH Bias:  left-center
  mediacircus  ,mediacircus.com,Fact: MIXED Bias:  right
  defenseone  ,defenseone.com,Fact: HIGH Bias:  center
 electronicintifada  ,electronicintifada.net,Fact: HIGH Bias:  left
  usasupreme  ,usasupreme.com,Fact: LOW Bias:  extreme-right
  thelibertyeagle ,thelibertyeagle.com,Fact: LOW Bias:  extreme-right
  rt  news ,rt.com-news,Fact: MIXED Bias:  right-center
  slate  ,slate.com,Fact: HIGH Bias:  left
  westernjournalism  thepoint ,westernjournalism.com-thepoint,Fact: MIXED Bias:  right
 conservativebase  ,conservativebase.com,Fact: MIXED Bias:  right
  desmoinesregister  ,desmoinesregister.com,Fact: HIGH Bias:  right-center
 mondoweiss  ,mondoweiss.net,Fact: HIGH Bias:  left
  newsbusters  ,newsbusters.org,Fact: MIXED Bias:  right
 thewashingtonreporter  ,thewashingtonreporter.com,Fact: LOW Bias:  extreme-right
 theoswatch ,theoswatch.com,Fact: MIXED Bias:  left
  thesun  ,thesun.co.uk,Fact: MIXED Bias:  right
 antiwar  ,antiwar.com,Fact: MIXED Bias:  right-center
 missoulian  ,missoulian.com,Fact: HIGH Bias:  center
 cumberlink ,cumberlink.com,Fact: HIGH Bias:  center
  mediazone  ,mediazone.news,Fact: LOW Bias:  extreme-right
 carnegieendowment  ,carnegieendowment.org,Fact: HIGH Bias:  center
  liberalexaminer  ,liberalexaminer.com,Fact: MIXED Bias:  left
  readingthepictures ,readingthepictures.org,Fact: HIGH Bias:  left
 corporatepresidency ,corporatepresidency.org,Fact: HIGH Bias:  left-center
 imowired  ,imowired.com,Fact: LOW Bias:  extreme-right
  richmond  ,richmond.com,Fact: HIGH Bias:  right-center
  alreporter ,alreporter.com,Fact: HIGH Bias:  center
  msnbc  ,msnbc.com,Fact: MIXED Bias:  left
  mintpressnews  ,mintpressnews.com,Fact: HIGH Bias:  left-center
  news   ,news.com.au,Fact: HIGH Bias:  left-center
  theshovel   ,theshovel.com.au,Fact: LOW Bias:  center
  thenewatlantis  ,thenewatlantis.com,Fact: HIGH Bias:  right-center
  censored  ,censored.news,Fact: LOW Bias:  extreme-right
  miamiherald  ,miamiherald.com,Fact: HIGH Bias:  left-center
  frontiersin  ,frontiersin.org,Fact: MIXED Bias:  center
 outabouter  ,outabouter.com,Fact: LOW Bias:  center
 ifamericaknew  ,ifamericaknew.org,Fact: HIGH Bias:  left-center
  the-daily-news  ,the-daily-news.co.uk,Fact: LOW Bias:  center
  malaysia-today  ,malaysia-today.net,Fact: MIXED Bias:  center
  drudgereport  ,drudgereport.com,Fact: MIXED Bias:  right
  insidesources ,insidesources.com,Fact: HIGH Bias:  right-center
  texasstandard  ,texasstandard.org,Fact: HIGH Bias:  center
 thenewtropic ,thenewtropic.com,Fact: HIGH Bias:  left-center
 bigthink  ,bigthink.com,Fact: HIGH Bias:  center
  nydailynews  ,nydailynews.com,Fact: MIXED Bias:  left-center
 scripps.ucsd.edu news,scripps.ucsd.edu-news,Fact: HIGH Bias:  center
  lavendermagazine  ,lavendermagazine.com,Fact: HIGH Bias:  left
 thecitizenpress ,thecitizenpress.com,Fact: MIXED Bias:  right
  freewoodpost  ,freewoodpost.com,Fact: LOW Bias:  center
  dispatch  ,dispatch.com,Fact: HIGH Bias:  right-center
  truebluescoop ,truebluescoop.com,Fact: LOW Bias:  extreme-left
 carepublican ,carepublican.com,Fact: HIGH Bias:  right
  fightforthefuture ,fightforthefuture.org,Fact: HIGH Bias:  left-center
  drudge  ,drudge.com,Fact: MIXED Bias:  left
  bluedotdaily  ,bluedotdaily.com,Fact: MIXED Bias:  left
  legitgov  ,legitgov.org,Fact: MIXED Bias:  left-center
 donaldtrumpnews  ,donaldtrumpnews.co,Fact: LOW Bias:  extreme-right
 forward  ,forward.com,Fact: HIGH Bias:  left-center
  taipeitimes  ,taipeitimes.com,Fact: HIGH Bias:  center
 liberalbias  ,liberalbias.com,Fact: LOW Bias:  center
  cbpp  ,cbpp.org,Fact: HIGH Bias:  left-center
 aeon  ,aeon.co,Fact: HIGH Bias:  left-center
  ocweekly  ,ocweekly.com,Fact: HIGH Bias:  left-center
 rochdaleherald  amp ,rochdaleherald.co.uk,Fact: LOW Bias:  center
 dailyheadlines  ,dailyheadlines.net,Fact: LOW Bias:  extreme-right
 redalertpolitics  ,redalertpolitics.com,Fact: MIXED Bias:  right
  hopkinsmedicine  ,hopkinsmedicine.org,Fact: HIGH Bias:  center
  phoenixnewtimes  ,phoenixnewtimes.com,Fact: HIGH Bias:  left-center
 citizensunited  index.aspx,citizensunited.org-index.aspx,Fact: MIXED Bias:  right
 thewashingtonstandard  ,thewashingtonstandard.com,Fact: LOW Bias:  extreme-right
 splinternews ,splinternews.com,Fact: MIXED Bias:  left
  christianitytoday  ,christianitytoday.com,Fact: HIGH Bias:  right-center
 bizstandardnews  ,bizstandardnews.com,Fact: LOW Bias:  center
 empirenews  ,empirenews.net,Fact: LOW Bias:  center
 therantidote  ,therantidote.com,Fact: MIXED Bias:  right
 politicalcritique  ,politicalcritique.org,Fact: HIGH Bias:  left-center
 globegazette ,globegazette.com,Fact: HIGH Bias:  center
 washingtonmonthly  ,washingtonmonthly.com,Fact: HIGH Bias:  left
  theautomaticearth  ,theautomaticearth.com,Fact: HIGH Bias:  left-center
  iea  ,iea.org,Fact: HIGH Bias:  center
  theblaze  ,theblaze.com,Fact: MIXED Bias:  right
 bannedinformation ,bannedinformation.com,Fact: LOW Bias:  extreme-right
  weaselzippers  ,weaselzippers.us,Fact: MIXED Bias:  right
  towleroad  ,towleroad.com,Fact: MIXED Bias:  left
  ronpaulinstitute  ,ronpaulinstitute.org,Fact: MIXED Bias:  right
  space  ,space.com,Fact: HIGH Bias:  center
 boingboing  ,boingboing.net,Fact: HIGH Bias:  left
 ilovemyfreedom  ,ilovemyfreedom.org,Fact: LOW Bias:  extreme-right
 crimethinc  ,crimethinc.com,Fact: HIGH Bias:  left
  constitutionproject  ,constitutionproject.org,Fact: HIGH Bias:  center
  sayfiereview  ,sayfiereview.com,Fact: HIGH Bias:  center
 reductress  ,reductress.com,Fact: LOW Bias:  center
 gomerblog  ,gomerblog.com,Fact: LOW Bias:  center
  newshounds  ,newshounds.us,Fact: MIXED Bias:  left
 nypost  ,nypost.com,Fact: MIXED Bias:  right-center
 indianexpress  ,indianexpress.com,Fact: HIGH Bias:  center
  skepticink  ,skepticink.com,Fact: HIGH Bias:  center
  newyorker  ,newyorker.com,Fact: HIGH Bias:  left
 hardnews work,hardnews.network,Fact: LOW Bias:  extreme-right
 spectrumreport ,spectrumreport.com,Fact: MIXED Bias:  center
 airwars  ,airwars.org,Fact: HIGH Bias:  center
  gallup  home.aspx,gallup.com-home.aspx,Fact: HIGH Bias:  center
  americanthinker  ,americanthinker.com,Fact: MIXED Bias:  right
  faithwire ,faithwire.com,Fact: MIXED Bias:  right
  amny  ,amny.com,Fact: HIGH Bias:  left-center
  onenewsnow  ,onenewsnow.com,Fact: MIXED Bias:  right
 thefederalistpapers  ,thefederalistpapers.org,Fact: LOW Bias:  extreme-right
  koco  ,koco.com,Fact: HIGH Bias:  left-center
 eveningharold  ,eveningharold.com,Fact: LOW Bias:  center
 ihypocrite ,ihypocrite.net,Fact: LOW Bias:  extreme-right
  scotsman ,scotsman.com,Fact: HIGH Bias:  center
  democratichub  ,democratichub.com,Fact: MIXED Bias:  left
 silenceisconsent  ,silenceisconsent.net,Fact: MIXED Bias:  right
  ammoland  ,ammoland.com,Fact: HIGH Bias:  right
 thesciencepost  ,thesciencepost.com,Fact: LOW Bias:  center
  thedailymash  ,thedailymash.co.uk,Fact: LOW Bias:  center
 clashdaily  ,clashdaily.com,Fact: LOW Bias:  extreme-right
  opensecrets  ,opensecrets.org,Fact: HIGH Bias:  center
  usafirstinformation  ,usafirstinformation.com,Fact: LOW Bias:  extreme-right
 patriotupdate  ,patriotupdate.com,Fact: LOW Bias:  extreme-right
 jewwatch  ,jewwatch.com,Fact: LOW Bias:  extreme-right
 democracyguardian ,democracyguardian.com,Fact: MIXED Bias:  left
  miaminewtimes  ,miaminewtimes.com,Fact: HIGH Bias:  left
 sentinelksmo ,sentinelksmo.org,Fact: MIXED Bias:  right
  vice  ,vice.com,Fact: MIXED Bias:  left-center
 news.harvard.edu gazette ,news.harvard.edu-gazette,Fact: HIGH Bias:  center
  worldaffairsjournal  ,worldaffairsjournal.org,Fact: HIGH Bias:  left-center
 news.sky  ,news.sky.com,Fact: HIGH Bias:  left-center
 dailycurrant  ,dailycurrant.com,Fact: LOW Bias:  center
  pewresearch  ,pewresearch.org,Fact: HIGH Bias:  center
  hermancain  ,hermancain.com,Fact: MIXED Bias:  right
 trofire  ,trofire.com,Fact: HIGH Bias:  left
  numbersusa  ,numbersusa.com,Fact: MIXED Bias:  right
 timeline ,timeline.com,Fact: HIGH Bias:  left-center
  sbsun ,sbsun.com,Fact: HIGH Bias:  right-center
  latintimes  ,latintimes.com,Fact: HIGH Bias:  left-center
 allenwestrepublic  ,allenwestrepublic.com,Fact: LOW Bias:  extreme-right
 news.mongabay ,news.mongabay.com,Fact: HIGH Bias:  left-center
 fusion.kinja  ,fusion.kinja.com,Fact: MIXED Bias:  left-center
 aptnnews ,aptnnews.ca,Fact: HIGH Bias:  center
  wsws ,wsws.org,Fact: HIGH Bias:  left
  spin  death-and-taxes ,spin.com-death-and-taxes,Fact: HIGH Bias:  left
  aina ,aina.org,Fact: MIXED Bias:  right
100 Percent Fed Up,100percentfedup.com,questionable    bias        
16 WMPO,16wmpo.com,"satire  imposter site  fake       Scottsdale, Ariz. ** "
OneEighty,180report.com,least_biased            
21stcenturywire,21stcenturywire.com,    conspiracy        
247newsmedia,247newsmedia.com,"  fake news         Kumanovo, Macedonia "
24newsflash,24newsflash.com,    fake        
24online ,24online.news,"  imposter site         Panama, Pa. ** "
24wpn,24wpn.com,"  fake news  fake        Veles, Macedonia "
WorldPolitics News,24wpn.com,questionable            
365usanews,365usanews.com,    bias  conspiracy      
369News,369news.net,pseudoscience            
4threvolutionarywar ,4threvolutionarywar.wordpress.com,    bias  conspiracy      
70 News,70news.wordpress.com,questionable            
70news ,70news.wordpress.com,    fake        
82.221.129.208,82.221.129.208,    conspiracy  fake       
9 News (Australia),9news.com.au,right_center            
American Association for the Advancement of Science (AAAS),aaas.org,pro_science            
aanirfan spot,aanirfan.blogspot.co.uk,    unreliable      0  
Americans Against the Tea Party (AATTP),aattp.org,questionable            
ABC News Australia,abc.net.au,least_biased            
ABC News,abcnews.go.com,left_center            
ABC News Co,abcnews.com.co,"  imposter site  fake       Phoenix, Ariz. "
abcnewsgo,abcnewsgo.co,    fake        
Abel Danger,abeldanger.net,pseudoscience    conspiracy        
Above the Law,abovethelaw.com,left_center            
Above Top Secret,abovetopsecret.com,pseudoscience    conspiracy  rumor      
Albuquerque Journal,abqjournal.com,least_biased            
Abril Uno,abriluno.com,satire    satire  fake      
Ace Flashman,aceflashman.wordpress.com,satire            
aceflashman ,aceflashman.wordpress.com,    satire        
American Civil Liberties Union (ACLU),aclu.org,left_center            
American College of Pediatricians,acpeds.org,questionable            
American Council on Science and Health,acsh.org,right_center            
Acting Man,acting-man.com,right    unreliable  conspiracy    publishes articles denying climate change  
Activist Post,activistpost.com,pseudoscience    conspiracy        
actualidadpanamericana,actualidadpanamericana.com,"  parody site  satire       Scottsdale, Ariz. ** "
Anxiety and Depression Association of America (ADAA),adaa.org,pro_science            
Addicting Info,addictinginfo.org,left    clickbait  unreliable      
Anti-Defamation League,adl.org,left_center            
Alaska Dispatch News,adn.com,left_center            
Adobo Chronicles,adobochronicles.com,satire    satire        
Advocate,advocate.com,left    political  reliable      
American Enterprise Institute,aei.org,right            
Aeon,aeon.co,left_center            
American Family Association,afa.net,questionable            
AFP (Agence France Presse),afp.com,least_biased            
American Foreign Policy Council,afpc.org,right_center            
Africa News,africanews.com,least_biased            
Age of Autism,ageofautism.com,pseudoscience            
Age of Shitlords,ageofshitlords.com,questionable            
Agerpres,agerpres.ro,least_biased            
aheadoftheherd,aheadoftheherd.com,"    bias      false quotes regarding banking, heavily promotes businesses advertising on site  buying of precious metals  "
ahtribune,ahtribune.com,    unreliable  bias      
American Herald Tribune,ahtribune.com,left_center            
Amandla,aidc.org.za,left            
Accuracy in Media (AIM),aim.org,right            
Air & Space Magazine,airspacemag.com,pro_science            
American Journal of Archaeology,ajaonline.org,pro_science            
Atlanta Journal-Constitution,ajc.com,left_center            
Al Monitor,al-monitor.com,left_center            
alabamaobserver,alabamaobserver.com,"  imposter site         Toronto, Canada !!! "
Al Bawaba,albawaba.com,least_biased            
Higgins News Network,alexanderhiggins.com,pseudoscience            
The Algemeiner Journal,algemeiner.com,right_center            
Al Jazeera,aljazeera.com,left_center            
Allen B. West,allenbwest.com,right            
Allen West Republic,allenwestrepublic.com,questionable            
All News Pipeline,allnewspipeline.com,questionable    unreliable  conspiracy      
Alt-Market,alt-market.com,pseudoscience    conspiracy  bias       
Alternet,alternet.org,left    political  reliable      
AmericaBlog,americablog.com,left    bias  clickbait    domain for sale  
America Magazine,americamagazine.org,left_center            
American Action Forum,americanactionforum.org,right_center            
American Bridge 21st Century,americanbridgepac.org,left            
americanflavor ,americanflavor.news,"  fake news         Panama, Pa. * "
American Free Press,americanfreepress.net,pseudoscience    conspiracy  bias      
American Intelligence Report,americanintelligencereport.com,pseudoscience            
americankabuki spot,americankabuki.blogspot.com,    junksci        
American Lookout,americanlookout.com,questionable    bias  clickbait      
American News,americannews.com,questionable    fake        
American News X,americannewsx.com,left    political  bias  satire    
americanoverlook,americanoverlook.com,    fake        
American Patriot Daily,americanpatriotdaily.com,questionable    bias  clickbait  bias    
americanpeoplenetwork,americanpeoplenetwork.com,"  fake news         Veles, Macedonia "
americanpoliticnews,americanpoliticnews.co,  fake news  fake       Came up as available for use 
americanpresident,americanpresident.co,"  fake news  fake       Tblisi, Georgia "
americanprogress,americanprogress.org,    political  reliable      
Center For American Progress,americanprogress.org,left            
americanreviewer,americanreviewer.com,    conspiracy        
Americans for Prosperity,americansforprosperity.org,right            
American Thinker,americanthinker.com,"right    bias       sites both reliable not reliable sources, mix of opinion 'fact'  "
American Today,americantoday.news,questionable            
americantoday ,americantoday.news,    rumor  bias      
American Updater,americanupdater.com,questionable            
American Freedom Fighters,americasfreedomfighters.com,questionable    bias  clickbait      
Ammoland,ammoland.com,right    bias         
AM New York,amny.com,left_center            
Amplifying Glass,amplifyingglass.com,satire    clickbait  satire      
amposts,amposts.com,"  fake news  fake       Chesterbrook, Pa.^ "
American Renaissance,amren.com,questionable            
Alternative Media Television (AMTV),amtvmedia.com,pseudoscience            
amtvmedia,amtvmedia.com,    rumor  unreliable      
amusmentic,amusmentic.com,    clickbait  rumor      
Ancient Code,ancient-code.com,pseudoscience    junksci  unreliable      
Ancient Origins,ancient-origins.net,pseudoscience            
Anderson Institute,andersoninstitute.com,pseudoscience            
anews24  ,anews24.org ,"  fake news  fake       Panama, Pa. * "
angrypatriotmovement,angrypatriotmovement.com,"  fake news  conspiracy  fake     Scottsdale, Ariz. ** "
The Angry Patriot,angrypatriotmovement.com,questionable            
Anonymous,anonews.co,pseudoscience            
anonhq,anonhq.com,    unreliable        
anonjekloy.tk,anonjekloy.tk,"  fake news  fake       Amsterdam, Netherlands "
We Are Anonymous,anonjekloy.tk,pseudoscience            
anonews,anonnews.co,    unreliable        
Another Day in the Empire,anotherdayintheempire.com,pseudoscience    bias  conspiracy      
Answers in Genesis,answersingenesis.org,pseudoscience            
Anti-War,antiwar.com,right_center    bias  unreliable    site is biased but very open about bias and source  
antoniusaquinas.wp,antoniusaquinas.wp.com,    bias  conspiracy      
AOL,aol.com,left_center            
Associated Press,apnews.com,least_biased            
Arab News,arabnews.com,right_center            
Ara News,aranews.net,left_center            
Archaeology Magazine,archaeology.org,pro_science            
Arkansas Democrat-Gazette,arkansasonline.com,right_center            
Ars Technica,arstechnica.com,pro_science            
A Sheep No More,asheepnomore.net,pseudoscience            
Asia-Pacific Research,asia-pacificresearch.com,pseudoscience    unreliable  satire      
Assassination Science,assassinationscience.com,pseudoscience    conspiracy  junksci      
associatedmediacoverage,associatedmediacoverage.com,"  parody site  satire       Scottsdale, Ariz. ** "
Atlantic Council,atlanticcouncil.com,least_biased            
Atlantic Media,atlanticmedia.com,left_center            
The Atlanta Banana,atlbanana.com,satire            
Atomic Monkey,atomicmonkey.wordpress.com tag political-satire,satire            
ATTN:,attn.com,left_center    political  clickbait      
aurora-news ,aurora-news.us,"  imposter site  fake       Santiago, Chile "
Autistic Self Advocacy Network,autisticadvocacy.org,pro_science            
automaticearth,automaticearth.com,    unreliable      links to MSM sources and unreliable sources  
automotostar,automotostar.com,    clickbait        
A Voice for Men,avoiceformen.com,questionable            
Awareness Act,awarenessact.com,pseudoscience    conspiracy  junksci      
awazetribune,awazetribune.com,    satire        
AwdNews,awdnews.com,pseudoscience    conspiracy      twitter account deleted?  
American Web Media (AWM),awm.com,right            
awm,awm.com,    unreliable  bias  clickbait    
Axios,axios.com,left_center            
Arizona Republic,azcentral.com,right_center            
Babylon Bee,babylonbee.com,satire            
BackChannel,backchannel.com,left_center            
Backed by Fact,backedbyfact.com,left            
Ballotpedia,ballotpedia.org,least_biased            
Baltimore Sun,baltimoresun.com,left_center            
baptistnews,baptistnews.com,    political      circulates generally reliable information from a p.o.v. but not at the expense of informational integrity   
Baptist News Global,baptistnews.com,left_center            
Bare Naked Islam,barenakedislam.com,questionable    hate        
BB4SP,bb4sp.com,"questionable  fake news  conspiracy  bias  fake   Midwest City, Okla. "
BBC,bbc.com news,left_center            
BDNews24,bdnews24.com,least_biased            
beehivebugle,beehivebugle.com,    satire        
Before It’s News,beforeitsnews.com,"questionable  fake news  fake  conspiracy  rumor   Scottsdale, Ariz. ** "
Being Libertarian,beinglibertarian.com,right            
Bellingcat,bellingcat.com,least_biased            
Berkshire Eagle,berkshireeagle.com,left_center            
betootaadvocate,betootaadvocate.com,    satire        
Better Government Association,bettergov.org,least_biased            
Boy Genius Report (BGR),bgr.com,left_center            
bients,bients.com,    clickbait        
Big American News,bigamericannews.com,satire    satire  fake      
bigbluedimension,bigbluedimension.com,    rumor  bias      
Big Blue Vision,bigbluevision.com,questionable    hate        
Big Government News,biggovernment.news,right            
bighairynews,bighairynews.com,    fake  conspiracy      
bignuggetnews,bignuggetnews.com,    bias  rumor      
Big Think,bigthink.com,least_biased            
BillMoyers ,billmoyers.com,left_center            
Bipartisan Report,bipartisanreport.com,questionable    clickbait  bias      
Bitch Media,bitchmedia.org,left            
Bizpac Review,bizpacreview.com,right            
Business Standard News (BS News),bizstandardnews.com,satire            
Beijing Review,bjreview.com,left_center            
Black Agenda Report,blackagendareport.com,left    unreliable      anon submissions  
Black Genocide,blackgenocide.org,questionable    conspiracy  bias  hate    
blackinsurancenews,blackinsurancenews.com,"  some fake stories  fake  unreliable     Ridgefield Park, N.J. "
Blacklisted News,blacklistednews.com,pseudoscience    clickbait  unreliable      
Black Lives Matter,blacklivesmatter.com,left            
Countable News,blog.countable.us,least_biased            
Vanguard America,bloodandsoil.org,questionable            
Bloomberg,bloomberg.com,left_center            
The Blue Route,blue-route.org,left            
Blue Dot Daily,bluedotdaily.com,left            
Blue Lives Matter,bluelivesmatter.blue,right            
Blue Nation Review,bluenationreview.com,left    clickbait  unreliable      
Bluestem Prairie,bluestemprairie.com,left_center            
bluevision ,bluevision.news,"  fake news         Panama, Pa. * "
bluevisionpost,bluevisionpost.com,"  fake news         Panama, Pa. * "
boilingfrogspost,boilingfrogspost.com,"    unreliable      links to natural news, blacklist news, some conspiracy sites  "
Boing Boing,boingboing.net,left            
borowitzreport,borowitzreport.com,    satire        
Boston Globe,bostonglobe.com,left_center            
Boston Herald,bostonherald.com,right_center            
bostonleader,bostonleader.com,"  parody site  fake       Toronto, Canada !!! "
The Boston Tribune,bostontribune.com,"questionable  parody site  fake       Scottsdale, Ariz. ** "
breaking911,breaking911.com,    clickbait  unreliable      
Breaking Defense,breakingdefense.com,right_center            
breakpoint,breakpoint.org,    unreliable        
HL12,breakthrough.holylandnutrition.com,pseudoscience            
Breitbart,breitbart.com,right    political  unreliable  bias    
Breitbart Unmasked,breitbartunmasked.com,left            
Bridge Magazine,bridgemi.com,least_biased            
Brief ,brief.news,least_biased            
Broken World News,brokenworldnews.com,satire            
Brookings Institute,brookings.edu,left_center            
brotherjohnf,brotherjohnf.com,    bias  conspiracy      
Buffalo News,buffalonews.com,left_center            
bullionbullscanada,bullionbullscanada.com,"    conspiracy      The ""one"" bank  "
Burrard Street Journal,burrardstreetjournal.com,satire    satire        
Business Insider,businessinsider.com,left_center            
