  nationofchange  ,nationofchange.org, mediabiasfactcheck.com nation-of-change ,MIXED,left,,,,
 ricochet ,ricochet.com, mediabiasfactcheck.com richochet ,MIXED,right,,,,
  citizen-times  ,citizen-times.com, mediabiasfactcheck.com asheville-citizen-times ,HIGH,left-center,,,,
 waterfordwhispersnews  ,waterfordwhispersnews.com, mediabiasfactcheck.com waterford-whispers-news ,LOW,center,,,,
  aim  ,aim.org, mediabiasfactcheck.com accuracy-in-media-aim ,MIXED,right,,,,
  upi  ,upi.com, mediabiasfactcheck.com united-press-international-upi ,HIGH,center,,,,
 thevarsity  ,thevarsity.ca, mediabiasfactcheck.com the-varsity ,HIGH,left-center,,,,
 thetab  ,thetab.com, mediabiasfactcheck.com the-tab ,HIGH,left-center,,,,
  shareably  ,shareably.net, mediabiasfactcheck.com shareably ,HIGH,center,,,,
  saudigazette .sa,saudigazette.com.sa, mediabiasfactcheck.com saudi-gazette ,HIGH,left-center,,,,
  opposingviews  ,opposingviews.com, mediabiasfactcheck.com opposing-views ,HIGH,left-center,,,,
 listverse  ,listverse.com, mediabiasfactcheck.com listverse ,HIGH,center,,,,
  theaustralian   ,theaustralian.com.au, mediabiasfactcheck.com the-australian ,HIGH,right-center,,,,
  oregonlive   ,oregonlive.com-#-0, mediabiasfactcheck.com oregonian ,HIGH,right-center,,,,
 washingtonpress ,washingtonpress.com, mediabiasfactcheck.com washington-press ,MIXED,left,,,,
 news.abs-cbn  ,news.abs-cbn.com, mediabiasfactcheck.com abs-cbn-news ,HIGH,center,,,,
  hangthebankers  ,hangthebankers.com, mediabiasfactcheck.com hang-the-bankers ,LOW,extreme-right,,,,
  nationalnewswatch  ,nationalnewswatch.com, mediabiasfactcheck.com national-newswatch ,HIGH,left-center,,,,
 duhprogressive  ,duhprogressive.com, mediabiasfactcheck.com duh-progressive ,LOW,center,,,,
 dutchreview  ,dutchreview.com, mediabiasfactcheck.com dutch-review ,MIXED,left-center,,,,
  healthline  ,healthline.com, mediabiasfactcheck.com healthline ,HIGH,center,,,,
 watchdog  ,watchdog.org, mediabiasfactcheck.com watchdog-org ,MIXED,right-center,,,,
 spectator  ,spectator.org, mediabiasfactcheck.com american-spectator ,HIGH,right,,,,
  alaraby  english,alaraby.co.uk, mediabiasfactcheck.com the-new-arab ,HIGH,left-center,,,,
 journalstar  ,journalstar.com, mediabiasfactcheck.com lincoln-journal-star ,HIGH,center,,,,
 this  ,this.org, mediabiasfactcheck.com this-magazine ,HIGH,left,,,,
  ced  ,ced.org, mediabiasfactcheck.com committee-for-economic-development ,HIGH,center,,,,
  rfa  english ,rfa.org-english, mediabiasfactcheck.com radio-free-asia ,HIGH,left-center,,,,
 filmingcops  ,filmingcops.com, mediabiasfactcheck.com filming-cops ,HIGH,left,,,,
 stonecoldtruth  ,stonecoldtruth.com, mediabiasfactcheck.com stone-cold-truth ,LOW,extreme-right,,,,
 spiked-online  ,spiked-online.com, mediabiasfactcheck.com spiked-magazine ,MIXED,right,,,,
 meanlefthook  ,meanlefthook.com, mediabiasfactcheck.com mean-left-hook ,MIXED,left,,,,
 dcwhispers  ,dcwhispers.com, mediabiasfactcheck.com dc-whispers ,MIXED,right,,,,
  plymouthpatriotpost  ,plymouthpatriotpost.com, mediabiasfactcheck.com plymouth-patriot-post ,LOW,extreme-right,,,,
 extranewsfeed ,extranewsfeed.com, mediabiasfactcheck.com extranewsfeed ,MIXED,left,,,,
 dailycaller  ,dailycaller.com, mediabiasfactcheck.com daily-caller ,MIXED,right,,,,
 bitchmedia  ,bitchmedia.org, mediabiasfactcheck.com bitch-media ,HIGH,left,,,,
  colddeadhands  ,colddeadhands.us, mediabiasfactcheck.com cold-dead-hands ,MIXED,right,,,,
 campaignforliberty  ,campaignforliberty.org, mediabiasfactcheck.com campaign-for-liberty ,MIXED,right-center,,,,
 remnantnewspaper ,remnantnewspaper.com, mediabiasfactcheck.com the-remnant-magazine ,LOW,extreme-right,,,,
 guardianlv  ,guardianlv.com, mediabiasfactcheck.com guardian-liberty-voice ,HIGH,left,,,,
 unclesamsmisguidedchildren  ,unclesamsmisguidedchildren.com, mediabiasfactcheck.com uncle-sams-misguided-children ,LOW,extreme-right,,,,
  thewrap ,thewrap.com, mediabiasfactcheck.com thewrap ,MIXED,center,,,,
  yahoo  news ?ref=gs,yahoo.com-news-?ref=gs, mediabiasfactcheck.com yahoo-news ,MIXED,left-center,,,,
  cnn  ,cnn.com, mediabiasfactcheck.com cnn ,MIXED,left,,,,
 ageofshitlords  ,ageofshitlords.com, mediabiasfactcheck.com age-of-shitlords ,LOW,right,,,,
 undergroundjournalist  ,undergroundjournalist.org, mediabiasfactcheck.com underground-journalist ,LOW,extreme-left,,,,
 viraltitle ,viraltitle.com, mediabiasfactcheck.com viral-title ,MIXED,left,,,,
  courant  ,courant.com, mediabiasfactcheck.com the-hartford-courant ,HIGH,left-center,,,,
 nottnews  ,nottnews.com, mediabiasfactcheck.com nottnews ,LOW,center,,,,
  lifezette  ,lifezette.com, mediabiasfactcheck.com lifezette ,MIXED,right,,,,
  restoreamericanglory  ,restoreamericanglory.com, mediabiasfactcheck.com restore-american-glory ,HIGH,right,,,,
 mises  ,mises.org, mediabiasfactcheck.com mises-daily ,MIXED,right-center,,,,
  newsy  ,newsy.com, mediabiasfactcheck.com newsy ,HIGH,left-center,,,,
 circa  ,circa.com, mediabiasfactcheck.com circa-news ,HIGH,right-center,,,,
  pantagraph  ,pantagraph.com, mediabiasfactcheck.com the-pantagraph ,HIGH,center,,,,
  liberalmountain  ,liberalmountain.com, mediabiasfactcheck.com liberal-mountain ,HIGH,left-center,,,,
 jointcenter  ,jointcenter.org, mediabiasfactcheck.com joint-center-for-political-and-economic-studies ,HIGH,left-center,,,,
  journalnow  ,journalnow.com, mediabiasfactcheck.com winston-salem-journal ,HIGH,right-center,,,,
 cityandstateny  ,cityandstateny.com, mediabiasfactcheck.com city-and-state-new-york ,HIGH,center,,,,
  teapartypatriots  ,teapartypatriots.org, mediabiasfactcheck.com tea-party-patriots ,HIGH,right,,,,
 historynewsnetwork  ,historynewsnetwork.org, mediabiasfactcheck.com history-news-network ,HIGH,left-center,,,,
 defund  ,defund.com, mediabiasfactcheck.com defund-com ,LOW,extreme-right,,,,
 people  politics ,people.com-politics, mediabiasfactcheck.com people-magazine ,HIGH,left,,,,
  oann  ,oann.com, mediabiasfactcheck.com one-america-news-network ,MIXED,right,,,,
 zcomm  zmag ,zcomm.org-zmag, mediabiasfactcheck.com z-magazine ,HIGH,left,,,,
 theblacksphere  ,theblacksphere.net, mediabiasfactcheck.com the-blacksphere-kevin-jackson ,MIXED,right,,,,
 stocknewsusa ,stocknewsusa.com, mediabiasfactcheck.com stock-news-usa ,HIGH,center,,,,
  cctv-america  ,cctv-america.com, mediabiasfactcheck.com cctv-america ,HIGH,left-center,,,,
  hoover  ,hoover.org, mediabiasfactcheck.com hoover-institution ,MIXED,right-center,,,,
  learnliberty  ,learnliberty.org, mediabiasfactcheck.com learn-liberty ,HIGH,right-center,,,,
  freepress  ,freepress.net, mediabiasfactcheck.com free-press ,HIGH,left-center,,,,
  ciponline  ,ciponline.org, mediabiasfactcheck.com center-for-international-policy ,HIGH,left-center,,,,
  ifyouonlynews  ,ifyouonlynews.com, mediabiasfactcheck.com if-you-only-news ,LOW,extreme-left,,,,
  thenews   ,thenews.com.pk, mediabiasfactcheck.com the-news-international ,HIGH,center,,,,
  wikitribune ,wikitribune.com, mediabiasfactcheck.com wikitribune ,HIGH,center,,,,
  earthmagazine  ,earthmagazine.org, mediabiasfactcheck.com earth-magazine ,HIGH,center,,,,
 news.trust  ,news.trust.org, mediabiasfactcheck.com thomson-reuters-foundation ,HIGH,left-center,,,,
  libertynation ,libertynation.com, mediabiasfactcheck.com liberty-nation ,HIGH,right,,,,
  eagletribune  ,eagletribune.com, mediabiasfactcheck.com eagle-tribune ,HIGH,center,,,,
 russia-insider  en,russia-insider.com-en, mediabiasfactcheck.com russia-insider ,MIXED,right-center,,,,
 alphanewsmn  ,alphanewsmn.com, mediabiasfactcheck.com alpha-news ,MIXED,right,,,,
  nola   ,nola.com-#-0, mediabiasfactcheck.com the-times-picayune ,HIGH,left-center,,,,
  alhayat  ,alhayat.com, mediabiasfactcheck.com al-hayat ,HIGH,left-center,,,,
  roanoke  ,roanoke.com, mediabiasfactcheck.com roanoke-times ,HIGH,left-center,,,,
 louderwithcrowder  ,louderwithcrowder.com, mediabiasfactcheck.com louder-with-crowder ,MIXED,right,,,,
  theodysseyonline ,theodysseyonline.com, mediabiasfactcheck.com the-odyssey-online ,MIXED,left-center,,,,
 whowhatwhy  ,whowhatwhy.org, mediabiasfactcheck.com who-what-why ,MIXED,left,,,,
  twincities  ,twincities.com, mediabiasfactcheck.com st-paul-pioneer-press ,HIGH,left-center,,,,
  politico  ,politico.com, mediabiasfactcheck.com politico ,HIGH,left-center,,,,
 knightstemplarinternational  ,knightstemplarinternational.com, mediabiasfactcheck.com knights-templar-international ,LOW,extreme-right,,,,
 chronicle.su ,chronicle.su, mediabiasfactcheck.com internet-chronicle ,LOW,center,,,,
  columbiadailyherald  ,columbiadailyherald.com, mediabiasfactcheck.com columbia-daily-herald ,HIGH,right-center,,,,
 americanlookout  ,americanlookout.com, mediabiasfactcheck.com american-lookout ,LOW,extreme-right,,,,
  investors  ,investors.com, mediabiasfactcheck.com investors-business-daily ,MIXED,right-center,,,,
  cnsnews  ,cnsnews.com, mediabiasfactcheck.com cns-news ,MIXED,right,,,,
  thetimesherald ,thetimesherald.com, mediabiasfactcheck.com the-times-herald-port-huron ,HIGH,right-center,,,,
 ipolitics  ,ipolitics.ca, mediabiasfactcheck.com ipolitics ,HIGH,left-center,,,,
 religionnews ,religionnews.com, mediabiasfactcheck.com religion-news-service-rns ,HIGH,left-center,,,,
 politicslive  ,politicslive.net, mediabiasfactcheck.com politics-live ,LOW,extreme-right,,,,
  marxist  ,marxist.com, mediabiasfactcheck.com in-defence-of-marxism ,HIGH,left,,,,
  interpretermag  ,interpretermag.com, mediabiasfactcheck.com the-interpreter-magazine ,HIGH,left-center,,,,
  unwatch ,unwatch.org, mediabiasfactcheck.com un-watch ,MIXED,right,,,,
 townhall  ,townhall.com, mediabiasfactcheck.com townhall ,MIXED,right,,,,
 pjmedia  ,pjmedia.com, mediabiasfactcheck.com pj-media ,MIXED,right,,,,
 baptistnews  ,baptistnews.com, mediabiasfactcheck.com baptist-news-global ,HIGH,left-center,,,,
  duffelblog  ,duffelblog.com, mediabiasfactcheck.com duffel-blog ,LOW,center,,,,
 usadosenews  ,usadosenews.com, mediabiasfactcheck.com usa-dose-news ,LOW,extreme-right,,,,
  omaha  ,omaha.com, mediabiasfactcheck.com omaha-world-herald ,HIGH,right-center,,,,
 economictimes diatimes  ,economictimes.indiatimes.com, mediabiasfactcheck.com the-economic-times ,HIGH,left-center,,,,
  ndtv  ,ndtv.com, mediabiasfactcheck.com ndtv ,HIGH,left-center,,,,
 lifehacker  ,lifehacker.com, mediabiasfactcheck.com lifehacker ,HIGH,left-center,,,,
  mlive  ,mlive.com, mediabiasfactcheck.com mlive-michigan-booth-newspapers ,HIGH,center,,,,
  nationalmemo  ,nationalmemo.com, mediabiasfactcheck.com the-national-memo ,HIGH,left,,,,
 projectveritas  ,projectveritas.com, mediabiasfactcheck.com project-veritas ,MIXED,right,,,,
 taxfoundation  ,taxfoundation.org, mediabiasfactcheck.com tax-foundation ,HIGH,right-center,,,,
  govexec  ,govexec.com, mediabiasfactcheck.com government-executive ,HIGH,center,,,,
  insidephilanthropy ,insidephilanthropy.com, mediabiasfactcheck.com inside-philanthropy ,HIGH,left-center,,,,
  thejakartapost  ,thejakartapost.com, mediabiasfactcheck.com the-jakarta-post ,HIGH,center,,,,
 conservative101  ,conservative101.com, mediabiasfactcheck.com conservative-101 ,LOW,extreme-right,,,,
 allnewspipeline  ,allnewspipeline.com, mediabiasfactcheck.com all-news-pipeline ,LOW,extreme-right,,,,
  washingtonexaminer  ,washingtonexaminer.com, mediabiasfactcheck.com washington-examiner ,HIGH,right-center,,,,
  seattletimes  ,seattletimes.com, mediabiasfactcheck.com seattle-times ,HIGH,left-center,,,,
 amgreatness ,amgreatness.com, mediabiasfactcheck.com american-greatness ,HIGH,right-center,,,,
 ibleedredwhiteblue  ,ibleedredwhiteblue.com, mediabiasfactcheck.com bleed-red-white-blue ,MIXED,right,,,,
 sonsoflibertymedia ,sonsoflibertymedia.com, mediabiasfactcheck.com sons-liberty-media ,LOW,extreme-right,,,,
  cbsnews  ,cbsnews.com, mediabiasfactcheck.com cbs-news ,HIGH,left-center,,,,
  afr  ,afr.com, mediabiasfactcheck.com the-australian-financial-review ,HIGH,center,,,,
 chicago.suntimes  ,chicago.suntimes.com, mediabiasfactcheck.com chicago-sun-times ,HIGH,left-center,,,,
  couriermail   ,couriermail.com.au, mediabiasfactcheck.com the-courier-mail ,HIGH,right-center,,,,
 globalnews  ,globalnews.ca, mediabiasfactcheck.com global-news ,HIGH,left-center,,,,
  americanprogress  ,americanprogress.org, mediabiasfactcheck.com center-for-american-progress ,HIGH,left,,,,
 nationalvanguard  ,nationalvanguard.org, mediabiasfactcheck.com national-vanguard ,LOW,extreme-right,,,,
  theamericanconservative  ,theamericanconservative.com, mediabiasfactcheck.com the-american-conservative ,HIGH,right-center,,,,
 eaglerising  ,eaglerising.com, mediabiasfactcheck.com eagle-rising ,LOW,extreme-right,,,,
 erlc  ,erlc.com, mediabiasfactcheck.com ethics-religious-liberty-commission-erlc ,MIXED,right,,,,
  defendevropa ,defendevropa.org, mediabiasfactcheck.com defend-europa ,LOW,extreme-right,,,,
  yesmagazine  ,yesmagazine.org, mediabiasfactcheck.com yes-magazine ,HIGH,left,,,,
 stimson  ,stimson.org, mediabiasfactcheck.com stimson-center ,HIGH,center,,,,
  peacock-panache ,peacock-panache.com, mediabiasfactcheck.com peacock-panache ,HIGH,left,,,,
 host.madison  wsj ,host.madison.com-wsj, mediabiasfactcheck.com wisconsin-state-journal ,HIGH,center,,,,
 upr ,upr.org, mediabiasfactcheck.com utah-public-radio-upr ,HIGH,left-center,,,,
 uproxx  ,uproxx.com, mediabiasfactcheck.com uproxx ,HIGH,left,,,,
 sputniknews  ,sputniknews.com, mediabiasfactcheck.com sputnik-news ,MIXED,right-center,,,,
 wn  ,wn.com, mediabiasfactcheck.com world-news ,HIGH,center,,,,
 modernliberals  ,modernliberals.com, mediabiasfactcheck.com modern-liberals ,MIXED,left,,,,
 earthfirstjournal  ,earthfirstjournal.org, mediabiasfactcheck.com earth-first-journal ,MIXED,left,,,,
  libertyheadlines  ,libertyheadlines.com, mediabiasfactcheck.com liberty-headlines ,MIXED,right,,,,
 freetelegraph  ,freetelegraph.com, mediabiasfactcheck.com the-free-telegraph ,LOW,right,,,,
 dandygoat  ,dandygoat.com, mediabiasfactcheck.com the-dandy-goat ,LOW,center,,,,
  conservapedia  Main_Page,conservapedia.com-Main_Page, mediabiasfactcheck.com conservapedia ,LOW,extreme-right,,,,
  strategic-culture  ,strategic-culture.org, mediabiasfactcheck.com strategic-culture-foundation ,HIGH,right-center,,,,
  resourcegovernance  ,resourcegovernance.org, mediabiasfactcheck.com natural-resource-governance-institute ,HIGH,left-center,,,,
 theamericanmirror  ,theamericanmirror.com, mediabiasfactcheck.com the-american-mirror ,LOW,extreme-right,,,,
  jacobinmag  ,jacobinmag.com, mediabiasfactcheck.com jacobin ,HIGH,left,,,,
  ruthinstitute ,ruthinstitute.org, mediabiasfactcheck.com ruth-institute ,LOW,extreme-right,,,,
 proudemocrat  ,proudemocrat.com, mediabiasfactcheck.com proud-democrat ,MIXED,left,,,,
 fmobserver  ,fmobserver.com, mediabiasfactcheck.com fm-observer ,LOW,center,,,,
  betootaadvocate ,betootaadvocate.com, mediabiasfactcheck.com the-betoota-advocate ,LOW,center,,,,
  dailyrecord  ,dailyrecord.co.uk, mediabiasfactcheck.com daily-record-scotland ,MIXED,left,,,,
 discovermagazine  ,discovermagazine.com, mediabiasfactcheck.com discover-magazine ,HIGH,center,,,,
 talkingpointsmemo  ,talkingpointsmemo.com, mediabiasfactcheck.com talking-points-memo ,HIGH,left,,,,
  birminghammail ,birminghammail.co.uk, mediabiasfactcheck.com birmingham-mail ,MIXED,left-center,,,,
 americanconsequences ,americanconsequences.com, mediabiasfactcheck.com american-consequences ,MIXED,right,,,,
 sonorannews  ,sonorannews.com, mediabiasfactcheck.com sonoran-news ,MIXED,right,,,,
 mentalfloss  ,mentalfloss.com, mediabiasfactcheck.com mental-floss ,HIGH,center,,,,
 thefifthcolumnnews  ,thefifthcolumnnews.com, mediabiasfactcheck.com fifth-column-news ,MIXED,left-center,,,,
  informationliberation  ,informationliberation.com, mediabiasfactcheck.com information-liberation ,LOW,extreme-right,,,,
  dcreport  ,dcreport.org, mediabiasfactcheck.com dcreport-org ,HIGH,left-center,,,,
  autostraddle  ,autostraddle.com, mediabiasfactcheck.com autostraddle ,HIGH,left,,,,
  jns ,jns.org, mediabiasfactcheck.com jewish-news-syndicate-jns ,HIGH,right-center,,,,
 wgntv  ,wgntv.com, mediabiasfactcheck.com wgn-news ,HIGH,left-center,,,,
 bearingarms  ,bearingarms.com, mediabiasfactcheck.com bearing-arms ,MIXED,right,,,,
 americantruthseekers ,americantruthseekers.com, mediabiasfactcheck.com american-truth-seekers ,LOW,extreme-right,,,,
 themillenniumreport ,themillenniumreport.com, mediabiasfactcheck.com the-millennium-report ,LOW,extreme-right,,,,
 knoxreport  ,knoxreport.com, mediabiasfactcheck.com knox-report ,MIXED,right,,,,
 huzlers  ,huzlers.com, mediabiasfactcheck.com huzlers ,LOW,center,,,,
 mediaequalizer  ,mediaequalizer.com, mediabiasfactcheck.com media-equalizer ,MIXED,right,,,,
  thecanary  ,thecanary.co, mediabiasfactcheck.com the-canary-uk ,HIGH,left,,,,
  westernjournalism  ,westernjournalism.com, mediabiasfactcheck.com western-journalism ,MIXED,right,,,,
  workers  ,workers.org, mediabiasfactcheck.com workers-world ,MIXED,left,,,,
  globalintegrity  ,globalintegrity.org, mediabiasfactcheck.com global-integrity ,HIGH,center,,,,
 harddawn  ,harddawn.com, mediabiasfactcheck.com hard-dawn ,LOW,center,,,,
 fedsoc  ,fedsoc.org, mediabiasfactcheck.com federalist-society ,MIXED,right,,,,
 politichicks  ,politichicks.com, mediabiasfactcheck.com politichicks ,MIXED,right,,,,
  nextavenue  ,nextavenue.org, mediabiasfactcheck.com next-avenue ,HIGH,center,,,,
  rappler  ,rappler.com, mediabiasfactcheck.com rappler ,MIXED,left,,,,
 oppositionreport ,oppositionreport.com, mediabiasfactcheck.com opposition-report ,LOW,extreme-left,,,,
  ejinsight  ,ejinsight.com, mediabiasfactcheck.com ej-insight-eji ,HIGH,center,,,,
 factbox  ,factbox.tv, mediabiasfactcheck.com factbox-tv ,HIGH,left-center,,,,
  avoiceformen  ,avoiceformen.com, mediabiasfactcheck.com a-voice-for-men ,LOW,extreme-right,,,,
 christwire  ,christwire.org, mediabiasfactcheck.com christwire ,LOW,center,,,,
  futureinamerica  news,futureinamerica.com-news, mediabiasfactcheck.com future-in-america ,MIXED,right,,,,
 newcenturytimes  ,newcenturytimes.com, mediabiasfactcheck.com new-century-times ,LOW,extreme-left,,,,
 chaser  ,chaser.com.au, mediabiasfactcheck.com the-chaser ,LOW,center,,,,
  financialpost  ,financialpost.com, mediabiasfactcheck.com financial-post ,HIGH,right-center,,,,
 libertyhangout  ,libertyhangout.org, mediabiasfactcheck.com liberty-hangout ,MIXED,right,,,,
  newsday  ,newsday.com, mediabiasfactcheck.com newsday ,HIGH,left-center,,,,
  psychologytoday  ,psychologytoday.com, mediabiasfactcheck.com psychology-today ,HIGH,center,,,,
 consortiumnews  ,consortiumnews.com, mediabiasfactcheck.com consortium-news ,HIGH,center,,,,
 usainfront ,usainfront.com, mediabiasfactcheck.com usa-in-front ,LOW,extreme-right,,,,
  conservativehq  ,conservativehq.com, mediabiasfactcheck.com conservative-hq ,MIXED,right,,,,
 rinf ,rinf.com, mediabiasfactcheck.com rinf ,LOW,extreme-right,,,,
  conservativedailynews  ,conservativedailynews.com, mediabiasfactcheck.com conservative-daily-news ,MIXED,right,,,,
 capitalresearch  ,capitalresearch.org, mediabiasfactcheck.com capital-research-center ,MIXED,right,,,,
 infogalactic ,infogalactic.com, mediabiasfactcheck.com infogalactic ,LOW,extreme-right,,,,
 news.err.ee,news.err.ee, mediabiasfactcheck.com err-news-estonia-public-broadcasting ,HIGH,center,,,,
  opslens  ,opslens.com, mediabiasfactcheck.com opslens ,MIXED,right,,,,
 vote   ,vote.us.org, mediabiasfactcheck.com vote ,MIXED,left,,,,
  newsnow  h ,newsnow.co.uk, mediabiasfactcheck.com newsnow-uk ,MIXED,center,,,,
  magapill ,magapill.com, mediabiasfactcheck.com magapill ,LOW,right,,,,
  themilitant  ,themilitant.com, mediabiasfactcheck.com the-militant ,HIGH,left,,,,
  indymedia  or index.shtml,indymedia.org-or-index.shtml, mediabiasfactcheck.com independent-media-center ,MIXED,left-center,,,,
 readersupportednews ,readersupportednews.org, mediabiasfactcheck.com reader-supported-news-rsn ,MIXED,left,,,,
  redstate  ,redstate.com, mediabiasfactcheck.com red-state ,MIXED,right,,,,
 democratherald ,democratherald.com, mediabiasfactcheck.com albany-democrat-herald ,HIGH,center,,,,
  deccanherald  ,deccanherald.com, mediabiasfactcheck.com deccan-herald ,MIXED,left-center,,,,
 cowgernation  ,cowgernation.com, mediabiasfactcheck.com cowger-nation ,MIXED,right,,,,
 hillarydaily  ,hillarydaily.com, mediabiasfactcheck.com hillary-daily ,MIXED,right,,,,
  freemedia  ,freemedia.at, mediabiasfactcheck.com international-press-institute ,HIGH,center,,,,
 beinglibertarian  ,beinglibertarian.com, mediabiasfactcheck.com being-libertarian ,HIGH,right,,,,
  frontpagemag  ,frontpagemag.com, mediabiasfactcheck.com frontpage-magazine ,LOW,extreme-right,,,,
 americanindependent  ,americanindependent.com, mediabiasfactcheck.com american-independent-institute ,HIGH,left,,,,
  curvemag ,curvemag.com, mediabiasfactcheck.com curve-magazine ,HIGH,left,,,,
 ahtribune  ,ahtribune.com, mediabiasfactcheck.com american-herald-tribune ,MIXED,left-center,,,,
  nber  ,nber.org, mediabiasfactcheck.com national-bureau-of-economic-research-nber ,HIGH,center,,,,
  faithfamilyamerica ,faithfamilyamerica.com, mediabiasfactcheck.com faith-family-america ,HIGH,right-center,,,,
  centerforinquiry  ,centerforinquiry.net, mediabiasfactcheck.com center-for-inquiry ,HIGH,center,,,,
  bjreview  ,bjreview.com, mediabiasfactcheck.com beijing-review ,HIGH,left-center,,,,
  tnonline ,tnonline.com, mediabiasfactcheck.com times-news-pennsylvania ,HIGH,right-center,,,,
  elpasotimes  ,elpasotimes.com, mediabiasfactcheck.com el-paso-times ,HIGH,left-center,,,,
  algemeiner  ,algemeiner.com, mediabiasfactcheck.com the-algemeiner-journal ,HIGH,right-center,,,,
 calgaryherald  ,calgaryherald.com, mediabiasfactcheck.com calgary-herald ,HIGH,left-center,,,,
 feministfrequency  ,feministfrequency.com, mediabiasfactcheck.com feminist-frequency ,HIGH,left-center,,,,
 viralliberty  ,viralliberty.com, mediabiasfactcheck.com viral-liberty ,LOW,extreme-right,,,,
 dailysnark  ,dailysnark.com, mediabiasfactcheck.com dailysnark ,LOW,center,,,,
 eng.majalla  ,eng.majalla.com, mediabiasfactcheck.com al-majalla ,HIGH,center,,,,
 freedomhouse  ,freedomhouse.org, mediabiasfactcheck.com freedom-house ,HIGH,right-center,,,,
 newsblaze  ,newsblaze.com, mediabiasfactcheck.com news-blaze ,LOW,extreme-right,,,,
 votesmart  ,votesmart.org, mediabiasfactcheck.com votesmart ,HIGH,center,,,,
 theintercept  ,theintercept.com, mediabiasfactcheck.com the-intercept ,HIGH,left-center,,,,
 evonomics  ,evonomics.com, mediabiasfactcheck.com evonomics ,HIGH,left,,,,
  thenationalpatriot  ,thenationalpatriot.com, mediabiasfactcheck.com the-national-patriot ,LOW,extreme-right,,,,
  torontosun  ,torontosun.com, mediabiasfactcheck.com toronto-sun ,HIGH,right,,,,
  theunrealtimes  ,theunrealtimes.com, mediabiasfactcheck.com the-unreal-times ,LOW,center,,,,
  staresattheworld  ,staresattheworld.com, mediabiasfactcheck.com stares-at-the-world ,LOW,extreme-right,,,,
 youthradio  ,youthradio.org, mediabiasfactcheck.com youth-radio ,HIGH,left-center,,,,
 bluetribune  ,bluetribune.com, mediabiasfactcheck.com blue-tribune ,LOW,extreme-left,,,,
 notallowedto  ,notallowedto.com, mediabiasfactcheck.com not-allowed-to ,LOW,center,,,,
 worldpress  ,worldpress.org, mediabiasfactcheck.com world-press-review ,HIGH,center,,,,
 azdailysun ,azdailysun.com, mediabiasfactcheck.com arizona-daily-sun ,HIGH,left-center,,,,
 newbostonpost ,newbostonpost.com, mediabiasfactcheck.com new-boston-post ,MIXED,right,,,,
 thedcgazette  ,thedcgazette.com, mediabiasfactcheck.com dc-gazette ,LOW,extreme-right,,,,
  barenakedislam  ,barenakedislam.com, mediabiasfactcheck.com bare-naked-islam ,LOW,extreme-right,,,,
 twitchy  ,twitchy.com, mediabiasfactcheck.com twitchy ,MIXED,right,,,,
  newyorker  humor borowitz-report,newyorker.com-humor-borowitz-report, mediabiasfactcheck.com borowitz-report ,LOW,center,,,,
  lbc ,lbc.co.uk, mediabiasfactcheck.com london-broadcasting-company-lbc ,MIXED,right-center,,,,
  thenewamerican  ,thenewamerican.com, mediabiasfactcheck.com the-new-american ,MIXED,right,,,,
  rawstory  ,rawstory.com, mediabiasfactcheck.com raw-story ,MIXED,left,,,,
 freakoutnation  ,freakoutnation.com, mediabiasfactcheck.com freakout-nation ,LOW,extreme-left,,,,
  smithsonianmag  ,smithsonianmag.com, mediabiasfactcheck.com smithsonian-magazine ,HIGH,center,,,,
  unionleader  ,unionleader.com, mediabiasfactcheck.com manchester-union-leader ,HIGH,right,,,,
 steadfastandloyal  ,steadfastandloyal.com, mediabiasfactcheck.com steadfast-and-loyal ,LOW,extreme-right,,,,
 theresurgent  ,theresurgent.com, mediabiasfactcheck.com the-resurgent ,MIXED,right,,,,
  cnntimes.online ,cnntimes.online, mediabiasfactcheck.com sparkscnntimes ,MIXED,left,,,,
  independentsentinel  ,independentsentinel.com, mediabiasfactcheck.com independent-sentinel ,HIGH,right,,,,
 100percentfedup  ,100percentfedup.com, mediabiasfactcheck.com 100-percent-fed-up ,LOW,extreme-right,,,,
  bullshido  ,bullshido.net, mediabiasfactcheck.com bullshido ,HIGH,center,,,,
  tfp  ,tfp.org, mediabiasfactcheck.com american-society-defense-tradition-family-property ,LOW,extreme-right,,,,
  lifenews  ,lifenews.com, mediabiasfactcheck.com life-news ,MIXED,right,,,,
  spiegel.de international ,spiegel.de, mediabiasfactcheck.com spiegel-online ,HIGH,left-center,,,,
  sciencedirect  ,sciencedirect.com, mediabiasfactcheck.com sciencedirect ,HIGH,center,,,,
  lewrockwell  ,lewrockwell.com, mediabiasfactcheck.com lew-rockwell ,LOW,extreme-right,,,,
 gazette  ,gazette.com, mediabiasfactcheck.com colorado-springs-gazette ,HIGH,right-center,,,,
  patheos  ,patheos.com, mediabiasfactcheck.com patheos ,MIXED,center,,,,
 girlsjustwannahaveguns  ,girlsjustwannahaveguns.com, mediabiasfactcheck.com girls-just-wanna-have-guns ,LOW,extreme-right,,,,
  newsandgutsmedia  ,newsandgutsmedia.com, mediabiasfactcheck.com news-and-guts ,HIGH,left-center,,,,
 observeronline  ,observeronline.news, mediabiasfactcheck.com observer-online ,LOW,center,,,,
 crfb  ,crfb.org, mediabiasfactcheck.com committee-for-a-responsible-federal-budget ,HIGH,center,,,,
